*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Geigerzähler 2020 V.2
*Date=17:10:39
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;21.4684;-31.6647;90;Bottom;TXT3
2;;;38.0312;-16.6456;0;Bottom;Via19
3;;THT;3.42489;-15.7026;0;Bottom;VCC D6 GND
4;;THT;8.50489;-33.5875;0;Bottom;D3 GND
5;9V;;56.7649;-5.64755;0;Bottom;GND VIN
6;;;38.9646;-30.2488;90;Bottom;TXT2
7;;THT;57.4676;-23.578;0;Bottom;SDA SCK MOSI MISO GND RST 3.3V
8;;;3.22149;-21.5408;0;Bottom;Hole3
9;;;18.7119;-30.9858;90;Bottom;TXT3
10;;;31.3069;-22.8431;90;Bottom;TXT2
11;;THT;3.42489;-34.8575;0;Bottom;GND A7 VCC
12;;;52.4668;-14.2015;0;Bottom;Via22
13;adjustable;sot223;29.0535;-7.46755;0;Top;LM1117
14;;;24.0959;-31.4395;90;Bottom;TXT3
15;;;18.8152;-25.9327;0;Bottom;Via16
16;;;16.1211;-22.8349;90;Bottom;TXT3
17;;;41.4681;-23.7454;90;Bottom;TXT2
18;;THT;11.0449;-9.45755;0;Bottom;VCC A0 A1 A6 GND
19;;THT;3.42489;-25.9675;0;Bottom;GND A2
20;;;33.8964;-27.2375;90;Bottom;Nano
21;;THT;28.8249;-37.3975;90;Bottom;VCC D8 D7 LED D5 D4  GND
22;;THT;8.50489;-22.1575;0;Bottom;GND A3 VCC
23;;;31.3068;-31.3161;90;Bottom;TXT4
24;;;51.6445;-22.7334;90;Bottom;TXT5
25;;;18.6648;-14.5376;0;Bottom;Via17
26;;;13.5848;-32.3176;0;Bottom;Via21
27;;THT;49.1449;-7.93665;180;Bottom;Vcc GND SDA SCL
28;;THT;51.6849;-5.64755;90;Bottom;S1
29;;;36.4448;-4.12675;0;Bottom;Via18
30;;;28.7609;-23.6656;90;Bottom;TXT2
31;;;38.9848;-4.92121;0;Bottom;Via15
32;;THT;3.42489;-5.64755;0;Bottom;GND VCC SDA SCL
33;;;57.2848;-37.2374;0;Bottom;Hole1
34;;;57.5377;-10.7368;0;Bottom;Hole2
35;;;40.5209;-4.36918;0;Bottom;Via14
36;;;24.3118;-2.85929;0;Bottom;Via25
37;;;16.0912;-30.8111;90;Bottom;TXT3
